Title,Price,Square,Address
Cтудия № 290,14 886 115 ₽,22.7 м²,Событие
Cтудия № 51,15 028 200 ₽,24.2 м²,Событие
Cтудия № 46,15 388 100 ₽,24.7 м²,Символ
Cтудия № 141,15 410 598 ₽,24.5 м²,Событие
Cтудия № 256,15 575 900 ₽,41.5 м²,Символ
Cтудия № 370,15 775 700 ₽,41 м²,Символ
Cтудия № 155,15 865 030 ₽,22.7 м²,Событие
Cтудия № 215,16 012 580 ₽,22.7 м²,Событие
Cтудия № 21,16 243 040 ₽,24.2 м²,Событие
Cтудия № 70,16 277 300 ₽,24.7 м²,Символ
Cтудия № 201,16 466 450 ₽,24.5 м²,Событие
1-комн. квартира 107,18 615 353 ₽,34.6 м²,Символ
1-комн. квартира 155,18 664 800 ₽,33.6 м²,Символ
1-комн. квартира 286,18 760 560 ₽,36.4 м²,Символ
1-комн. квартира 239,18 875 502 ₽,35.9 м²,Символ
1-комн. квартира 228,18 931 888 ₽,34.2 м²,Символ
1-комн. квартира 342,18 978 360 ₽,35.6 м²,Символ
1-комн. квартира 4,18 993 390 ₽,40.3 м²,Символ
1-комн. квартира 276,19 050 880 ₽,41.2 м²,Символ
1-комн. квартира 287,19 069 360 ₽,34.9 м²,Символ
1-комн. квартира 304,19 124 560 ₽,36.4 м²,Символ
1-комн. квартира 285,19 220 040 ₽,40.6 м²,Символ
1-комн. квартира 84,19 239 980 ₽,40.1 м²,Символ
1-комн. квартира 79,19 245 654 ₽,43.7 м²,Символ
Cтудия № 30,19 246 920 ₽,30.8 м²,Символ
Cтудия № 1230,19 302 612 ₽,29.1 м²,Остров
1-комн. квартира 24,19 504 590 ₽,39.3 м²,Символ
1-комн. квартира 100,19 520 680 ₽,40.1 м²,Символ
1-комн. квартира 332,19 620 780 ₽,34.9 м²,Символ
1-комн. квартира 303,19 626 040 ₽,40.6 м²,Символ
1-комн. квартира 377,19 630 389 ₽,36.7 м²,Символ
1-комн. квартира 97,19 697 160 ₽,39.3 м²,Символ
1-комн. квартира 50,19 739 860 ₽,36.2 м²,Символ
1-комн. квартира 93,19 751 620 ₽,38.6 м²,Символ
1-комн. квартира 587,19 753 439 ₽,34.7 м²,Символ
1-комн. квартира 101,19 828 820 ₽,38.6 м²,Символ
1-комн. квартира 147,19 964 110 ₽,37.7 м²,Символ
1-комн. квартира 349,19 983 840 ₽,37.2 м²,Символ
1-комн. квартира 175,20 014 250 ₽,35.9 м²,Символ
1-комн. квартира 176,20 014 250 ₽,35.9 м²,Символ
1-комн. квартира 48,20 026 260 ₽,42.6 м²,Символ
1-комн. квартира 315,20 074 320 ₽,39.2 м²,Символ
1-комн. квартира 56,20 111 460 ₽,42.6 м²,Символ
1-комн. квартира 118,20 181 700 ₽,38.5 м²,Символ
1-комн. квартира 203,20 229 650 ₽,35.9 м²,Символ
1-комн. квартира 202,20 229 650 ₽,35.9 м²,Символ
1-комн. квартира 60,20 246 660 ₽,36.2 м²,Символ
1-комн. квартира 119,20 283 414 ₽,40.7 м²,Символ
1-комн. квартира 65,20 319 060 ₽,36.2 м²,Символ
1-комн. квартира 220,20 373 250 ₽,35.9 м²,Символ
1-комн. квартира 221,20 373 250 ₽,35.9 м²,Символ
1-комн. квартира 125,20 424 300 ₽,39 м²,Символ
1-комн. квартира 371,20 449 612 ₽,54.3 м²,Символ
1-комн. квартира 165,20 462 400 ₽,34.8 м²,Символ
1-комн. квартира 99,20 474 870 ₽,37.7 м²,Символ
1-комн. квартира 238,20 516 850 ₽,35.9 м²,Символ
1-комн. квартира 141,20 580 300 ₽,39 м²,Символ
1-комн. квартира 376,20 586 480 ₽,37.2 м²,Символ
Cтудия № 1182,20 621 040 ₽,29.2 м²,Остров
1-комн. квартира 71,20 625 570 ₽,44.1 м²,Символ
1-комн. квартира 378,20 655 910 ₽,39.7 м²,Символ
1-комн. квартира 385,20 660 880 ₽,37.2 м²,Символ
1-комн. квартира 350,20 742 840 ₽,36.7 м²,Символ
1-комн. квартира 375,20 987 520 ₽,40.8 м²,Символ
1-комн. квартира 102,20 987 590 ₽,37.7 м²,Символ
1-комн. квартира 9,21 067 720 ₽,45.2 м²,Символ
1-комн. квартира 384,21 069 120 ₽,40.8 м²,Символ
1-комн. квартира 235,21 147 083 ₽,39.4 м²,Символ
1-комн. квартира 482,21 147 902 ₽,41.5 м²,Символ
1-комн. квартира 185,21 221 640 ₽,46.6 м²,Символ
1-комн. квартира 500,21 224 262 ₽,41.5 м²,Символ
1-комн. квартира 190,21 228 720 ₽,39.4 м²,Символ
1-комн. квартира 237,21 407 802 ₽,38.7 м²,Символ
1-комн. квартира 386,21 410 780 ₽,36.7 м²,Символ
1-комн. квартира 247,21 454 473 ₽,36.3 м²,Символ
1-комн. квартира 111,21 530 990 ₽,43.7 м²,Символ
1-комн. квартира 372,21 532 880 ₽,52.6 м²,Символ
1-комн. квартира 143,21 534 030 ₽,39.9 м²,Символ
1-комн. квартира 210,21 550 632 ₽,41 м²,Символ
1-комн. квартира 163,21 563 680 ₽,43.9 м²,Символ
1-комн. квартира 137,21 607 580 ₽,43.9 м²,Символ
1-комн. квартира 86,21 667 980 ₽,45.8 м²,Символ
1-комн. квартира 246,21 681 030 ₽,34.3 м²,Символ
1-комн. квартира 365,21 772 600 ₽,54.7 м²,Символ
1-комн. квартира 422,21 785 580 ₽,35.7 м²,Символ
1-комн. квартира 169,21 918 400 ₽,41.2 м²,Символ
1-комн. квартира 223,21 946 765 ₽,39.4 м²,Символ
1-комн. квартира 93,22 046 460 ₽,46.6 м²,Символ
1-комн. квартира 421,22 082 680 ₽,35.6 м²,Символ
1-комн. квартира 252,22 104 600 ₽,39.9 м²,Символ
1-комн. квартира 217,22 115 220 ₽,39.4 м²,Символ
1-комн. квартира 142,22 162 020 ₽,43.1 м²,Символ
1-комн. квартира 445,22 296 280 ₽,35.6 м²,Символ
1-комн. квартира 453,22 367 480 ₽,35.6 м²,Символ
1-комн. квартира 204,22 375 820 ₽,44.6 м²,Символ
1-комн. квартира 510,22 413 960 ₽,41.4 м²,Символ
1-комн. квартира 18,22 468 920 ₽,45.2 м²,Символ
1-комн. квартира 207,22 491 630 ₽,39.9 м²,Символ
1-комн. квартира 580,22 536 840 ₽,40.4 м²,Символ
1-комн. квартира 395,22 584 390 ₽,42.5 м²,Символ
1-комн. квартира 132,22 672 740 ₽,44.3 м²,Символ
1-комн. квартира 259,22 694 950 ₽,38.5 м²,Символ
1-комн. квартира 240,22 732 620 ₽,44.6 м²,Символ
1-комн. квартира 419,22 751 400 ₽,39 м²,Символ
1-комн. квартира 246,22 772 280 ₽,39.6 м²,Символ
1-комн. квартира 107,22 804 800 ₽,48 м²,Символ
1-комн. квартира 243,22 810 830 ₽,39.9 м²,Символ
1-комн. квартира 39,22 812 930 ₽,44.1 м²,Символ
1-комн. квартира 114,22 900 800 ₽,48 м²,Символ
1-комн. квартира 44,22 901 130 ₽,44.1 м²,Символ
1-комн. квартира 158,22 908 600 ₽,44.5 м²,Символ
1-комн. квартира 398,22 934 780 ₽,39.1 м²,Символ
1-комн. квартира 472,22 941 200 ₽,41.5 м²,Символ
1-комн. квартира 49,22 989 330 ₽,44.1 м²,Символ
1-комн. квартира 121,22 996 800 ₽,48 м²,Символ
1-комн. квартира 491,23 032 500 ₽,41.5 м²,Символ
1-комн. квартира 179,23 076 080 ₽,47.2 м²,Символ
1-комн. квартира 748,23 107 170 ₽,38.1 м²,Символ
1-комн. квартира 405,23 142 330 ₽,39.3 м²,Символ
1-комн. квартира 278,23 151 018 ₽,45.3 м²,Символ
1-комн. квартира 235,23 165 150 ₽,39.5 м²,Символ
1-комн. квартира 206,23 196 420 ₽,43.1 м²,Символ
1-комн. квартира 190,23 231 880 ₽,43.9 м²,Символ
"1-комн. квартира 244
NEW",23 320 860 ₽,39.4 м²,Символ
1-комн. квартира 572,23 333 700 ₽,40.5 м²,Символ
1-комн. квартира 161,23 482 800 ₽,44 м²,Символ
1-комн. квартира 527,23 542 950 ₽,41.5 м²,Символ
1-комн. квартира 276,23 602 370 ₽,43.7 м²,Символ
