price,area,floor,rooms_number,complex,developer,address
14886115,22.7,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
15028200,24.2,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
15388100,24.7,,0,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
15410598,24.5,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
15575900,41.5,,0,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
15775700,41.0,,0,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
15865030,22.7,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
16012580,22.7,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
16243040,24.2,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
16277300,24.7,,0,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
16466450,24.5,,0,Событие,Donstroi,"ул. Лобачевского, 114, Москва, 119361"
18615353,34.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18664800,33.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18760560,36.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18875502,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18931888,34.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18978360,35.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
18993390,40.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19050880,41.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19069360,34.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19124560,36.4,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19220040,40.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19239980,40.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19245654,43.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19246920,30.8,,0,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19302612,29.1,,0,Остров,Donstroi,"ул. Нижние Мнёвники, 37А строение 2, Москва, 123423"
19504590,39.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19520680,40.1,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19620780,34.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19626040,40.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19630389,36.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19697160,39.3,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19739860,36.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19751620,38.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19753439,34.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19828820,38.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19964110,37.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
19983840,37.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20014250,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20014250,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20026260,42.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20074320,39.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20111460,42.6,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20181700,38.5,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20229650,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20229650,35.9,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20246660,36.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20283414,40.7,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
20319060,36.2,,1,Символ,Donstroi,"Москва, улица Крузенштерна, 2"
