,area,floor,rooms_number,complex,description_complex,developer,address,price
0,73.2,7,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",38195760.0
1,91.9,8,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",43009200.0
2,46.66,8,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",24795124.0
3,69.82,9,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",33143554.0
4,84.43,9,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",38652054.0
5,39.91,9,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",22944259.0
6,28.2,9,0,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",18659940.0
7,33.58,9,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21108388.0
8,45.76,10,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",25698816.0
9,69.88,11,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",33472520.0
10,28.22,11,0,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",18887646.0
11,115.24,13,4,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",58080960.0
12,84.49,14,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40496057.0
13,46.69,14,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",25497409.0
14,62.93,15,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",34775118.0
15,37.72,15,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",22673492.0
16,45.54,13,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",32975514.0
17,63.14,9,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",30616586.0
18,62.71,17,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",42210101.0
19,45.54,17,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",33307956.0
20,37.69,9,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",20518436.0
21,39.1,13,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",22384750.0
22,39.02,7,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",22186772.0
23,38.73,8,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21832101.0
24,107.33,8,4,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",63281768.0
25,30.06,8,0,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",18745416.0
26,75.97,8,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",47306519.0
27,90.03,3,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",57961314.0
28,62.09,8,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40470262.0
29,42.67,8,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",30812007.0
30,62.7,8,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",41300490.0
31,58.56,13,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",28823232.0
32,105.96,13,4,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",63003816.0
33,88.44,13,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",38453712.0
34,30.06,13,0,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",19067058.0
35,42.84,13,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",31298904.0
36,62.29,13,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40868469.0
37,62.1,13,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40973580.0
38,89.46,13,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",59088330.0
39,49.64,13,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",26691428.0
40,62.71,13,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",41808757.0
41,105.96,17,4,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",63607788.0
42,58.56,17,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",29203872.0
43,88.44,17,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",38975508.0
44,75.75,17,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",48290625.0
45,62.29,17,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",41273354.0
46,42.84,17,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",31611636.0
47,62.1,17,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",41377230.0
48,90.02,17,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",59962322.0
49,49.64,17,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",27053800.0
50,58.53,19,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",29382060.0
51,97.5,20,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",59679750.0
52,61.6,20,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",35395360.0
53,66.42,20,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",44508042.0
54,38.4,20,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",29978880.0
55,85.68,3,3,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40989312.0
56,38.38,3,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21650158.0
57,30.02,3,0,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",18408264.0
58,38.27,3,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21752668.0
59,38.92,3,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21896392.0
60,106.35,3,4,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",62065860.0
61,74.7,3,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",46060020.0
62,61.32,3,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",39385836.0
63,42.2,3,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",30270060.0
64,61.32,3,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",39582060.0
65,39.55,4,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",21242305.0
66,73.15,4,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",37365020.0
67,39.45,7,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",22510170.0
68,62.72,4,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",29948800.0
69,33.47,4,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",20727971.0
70,43.41,4,1,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",23115825.0
71,62.24,8,2,МИRA,"Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.",MR Group,"Москва, Проспект Мира, 186а",40343968.0
