name,price,area,floor,rooms_number,project,meter_price
MIR-1-1-К-1-7-5-10705,38195760.0,73.2,7,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",521800.0
MIR-1-1-К-1-8-6-10806,43009200.0,91.9,8,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",468000.0
MIR-1-1-К-1-8-10-10810,24795124.0,46.66,8,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",531400.0
MIR-1-1-К-1-9-1-10901,33143554.0,69.82,9,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",474700.0
MIR-1-1-К-1-9-2-10902,38652054.0,84.43,9,3,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",457800.0
MIR-1-1-К-1-9-3-10903,22944259.0,39.91,9,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",574900.0
MIR-1-1-К-1-9-8-10908,18659940.0,28.2,9,0,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",661700.0
MIR-1-1-К-1-9-9-10909,21108388.0,33.58,9,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",628600.0
MIR-1-1-К-1-10-4-11004,25698816.0,45.76,10,1,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",561600.0
MIR-1-1-К-1-11-1-11101,33472520.0,69.88,11,2,"{'id': 130871, 'code': 'mira', 'name': 'МИRA', 'marketing_image': '/upload/iblock/839/8393b07bbf6db23c73158aaded1c9304/741002e1e1dc94405656c7034829a9d0.jpg', 'title': 'Дом премиум-класса МИRA', 'description': 'Премиальный дом МИRA — статусный жилой комплекс для особого круга, расположенный рядом с ВДНХ. Внутри огромного динамичного мегаполиса важно обрести собственный мир, где легко жить в гармонии с собой и с окружением. Именно таким островом спокойствия и уединенности станет MИRA.', 'is_private': False}",479000.0
