"Ссылка на объявление","Название","Цена","Метро","Корпус/Этаж","Заселение"
"https://www.pik.ru/flat/874630","1 комната, 37.9 м²","12 212 062 ₽","Медведково
         • Полар","Корпус 1.4, Этаж 36 из 45","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/568147","2 комнаты, 37.3 м²","7 765 860 ₽","Котельники
         • Белая Дача парк","Корпус 8.2, Этаж 10 из 25","Выдача ключей"
"https://www.pik.ru/flat/874627","Студия, 25.2 м²","8 695 663 ₽","Медведково
         • Полар","Корпус 1.4, Этаж 36 из 45","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/583217","1 комната, 31.7 м²","9 088 390 ₽","Котельники
         • Кузьминский лес","Корпус 11, Этаж 14 из 25","Заселение до 1 сентября 2025"
"https://www.pik.ru/flat/642790","2 комнаты, 60.1 м²","9 652 060 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 25 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/582110","Студия, 25.1 м²","7 241 350 ₽","Котельники
         • Кузьминский лес","Корпус 12, Этаж 15 из 25","Заселение до 30 сентября 2025"
"https://www.pik.ru/flat/568148","2 комнаты, 35.3 м²","7 497 720 ₽","Котельники
         • Белая Дача парк","Корпус 8.2, Этаж 10 из 25","Выдача ключей"
"https://www.pik.ru/flat/645811","Студия, 19.9 м²","4 772 020 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 14 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643554","Студия, 23.5 м²","5 012 550 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 18 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/659702","2 комнаты, 57.4 м²","16 920 372 ₽","Братиславская
         • Люблинский парк","Корпус 12, Этаж 16 из 16","Заселение до 31 марта 2026"
"https://www.pik.ru/flat/568802","1 комната, 37.2 м²","7 756 200 ₽","Котельники
         • Белая Дача парк","Корпус 8.2, Этаж 11 из 25","Выдача ключей"
"https://www.pik.ru/flat/868230","1 комната, 32.3 м²","11 336 718 ₽","Саларьево
         • Саларьево парк","Корпус 68.5, Этаж 21 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/568271","2 комнаты, 61.3 м²","10 960 440 ₽","Котельники
         • Белая Дача парк","Корпус 8.2, Этаж 8 из 15","Выдача ключей"
"https://www.pik.ru/flat/643618","2 комнаты, 49.1 м²","8 617 050 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 13 из 25","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/643775","1 комната, 34.2 м²","6 220 980 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 41, Этаж 7 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/583057","Студия, 23.5 м²","6 953 650 ₽","Котельники
         • Кузьминский лес","Корпус 10, Этаж 5 из 25","Заселение до 1 февраля 2026"
"https://www.pik.ru/flat/857923","3 комнаты, 80.2 м²","21 375 385 ₽","Отрадное
         • Алтуфьевское 53","Корпус 2.2, Этаж 24 из 33","Заселение до 30 июня 2025"
"https://www.pik.ru/flat/813214","2 комнаты, 56 м²","23 801 904 ₽","Багратионовская
         • Барклая 6","Корпус 7, Этаж 2 из 32","Заселение до 30 сентября 2025"
"https://www.pik.ru/flat/867177","1 комната, 43.7 м²","13 773 366 ₽","Саларьево
         • Саларьево парк","Корпус 68.4, Этаж 12 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/875904","1 комната, 36 м²","11 419 920 ₽","Медведково
         • Полар","Корпус 1.5, Этаж 45 из 50","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/874630","1 комната, 37.9 м²","12 212 062 ₽","Медведково
         • Полар","Корпус 1.4, Этаж 36 из 45","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/659702","2 комнаты, 57.4 м²","16 920 372 ₽","Братиславская
         • Люблинский парк","Корпус 12, Этаж 16 из 16","Заселение до 31 марта 2026"
"https://www.pik.ru/flat/568802","1 комната, 37.2 м²","7 756 200 ₽","Котельники
         • Белая Дача парк","Корпус 8.2, Этаж 11 из 25","Выдача ключей"
"https://www.pik.ru/flat/875904","1 комната, 36 м²","11 419 920 ₽","Медведково
         • Полар","Корпус 1.5, Этаж 45 из 50","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/875905","2 комнаты, 56.3 м²","17 164 631 ₽","Медведково
         • Полар","Корпус 1.5, Этаж 45 из 50","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/876273","Студия, 19.5 м²","8 248 383 ₽","Медведково
         • Полар","Корпус 1.6, Этаж 8 из 14","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/927585","3 комнаты, 87.1 м²","18 292 480 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.13, Этаж 2 из 9","Заселение до 30 января 2026"
"https://www.pik.ru/flat/927970","Студия, 20.1 м²","8 085 988 ₽","Текстильщики
         • Волжский парк","Корпус 5.3, Этаж 3 из 24","Заселение до 28 февраля 2026"
"https://www.pik.ru/flat/867818","1 комната, 35.9 м²","11 648 185 ₽","Саларьево
         • Саларьево парк","Корпус 68.5, Этаж 10 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/868247","1 комната, 43.6 м²","13 901 947 ₽","Саларьево
         • Саларьево парк","Корпус 68.5, Этаж 22 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/874049","Студия, 25 м²","8 644 500 ₽","Медведково
         • Полар","Корпус 1.4, Этаж 2 из 45","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/874503","1 комната, 35.9 м²","11 688 465 ₽","Медведково
         • Полар","Корпус 1.4, Этаж 29 из 45","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/891564","2 комнаты, 45.61 м²","20 330 201 ₽","Волгоградский проспект
         • Первый Дубровский","Корпус 1.4, Этаж 38 из 38","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/896199","Студия, 20.1 м²","8 653 894 ₽","Братиславская
         • Люблинский парк","Корпус 14.1, Этаж 25 из 33","Заселение до 28 марта 2026"
"https://www.pik.ru/flat/896204","2 комнаты, 52 м²","15 678 624 ₽","Братиславская
         • Люблинский парк","Корпус 14.1, Этаж 25 из 33","Заселение до 28 марта 2026"
"https://www.pik.ru/flat/896748","2 комнаты, 46.3 м²","14 692 008 ₽","Братиславская
         • Люблинский парк","Корпус 14.5, Этаж 16 из 33","Заселение до 28 марта 2026"
"https://www.pik.ru/flat/903401","2 комнаты, 56.9 м²","19 361 476 ₽","Шоссе Энтузиастов
         • Плеханова 11","Корпус 1.3, Этаж 27 из 31","Заселение до 30 сентября 2026"
"https://www.pik.ru/flat/903478","2 комнаты, 58 м²","21 303 516 ₽","Шоссе Энтузиастов
         • Плеханова 11","Корпус 1.4, Этаж 2 из 24","Заселение до 30 сентября 2026"
"https://www.pik.ru/flat/867177","1 комната, 43.7 м²","13 773 366 ₽","Саларьево
         • Саларьево парк","Корпус 68.4, Этаж 12 из 24","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/927551","1 комната, 35.9 м²","8 796 828 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.13, Этаж 2 из 9","Заселение до 30 января 2026"
"https://www.pik.ru/flat/836941","1 комната, 32.6 м²","16 190 398 ₽","Волгоградский проспект
         • Первый Дубровский","Корпус 1.1, Этаж 31 из 38","Заселение до 30 июня 2025"
"https://www.pik.ru/flat/908327","1 комната, 44.1 м²","9 194 320 ₽","Ж/д станция Мытищи
         • Ярославский","Корпус 16.2, Этаж 12 из 25","Заселение до 30 января 2026"
"https://www.pik.ru/flat/908901","1 комната, 32.5 м²","7 017 855 ₽","Ж/д станция Мытищи
         • Ярославский","Корпус 16.3, Этаж 25 из 25","Заселение до 30 января 2026"
"https://www.pik.ru/flat/877136","3 комнаты, 82.7 м²","17 188 844 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.3-2.6, Этаж 3 из 9","Оформление в собственность"
"https://www.pik.ru/flat/927551","1 комната, 35.9 м²","8 796 828 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.13, Этаж 2 из 9","Заселение до 30 января 2026"
"https://www.pik.ru/flat/904079","1 комната, 34.5 м²","13 766 328 ₽","Шоссе Энтузиастов
         • Плеханова 11","Корпус 1.5, Этаж 23 из 31","Заселение до 30 сентября 2026"
"https://www.pik.ru/flat/940903","Студия, 24.8 м²","6 761 496 ₽","Ж/д станция Мытищи
         • Яуза парк","Корпус 6, Этаж 17 из 24","Заселение до 31 июля 2026"
"https://www.pik.ru/flat/908838","1 комната, 36.1 м²","7 854 132 ₽","Ж/д станция Мытищи
         • Ярославский","Корпус 16.3, Этаж 21 из 25","Заселение до 30 января 2026"
"https://www.pik.ru/flat/933839","1 комната, 32.4 м²","7 782 350 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.9, Этаж 6 из 9","Заселение до 11 апреля 2026"
"https://www.pik.ru/flat/875904","1 комната, 36 м²","11 419 920 ₽","Медведково
         • Полар","Корпус 1.5, Этаж 45 из 50","Заселение до 31 августа 2027"
"https://www.pik.ru/flat/928520","Студия, 20.1 м²","8 165 946 ₽","Текстильщики
         • Волжский парк","Корпус 5.4, Этаж 2 из 17","Заселение до 28 февраля 2026"
"https://www.pik.ru/flat/940344","1 комната, 37.7 м²","8 923 363 ₽","Ж/д станция Мытищи
         • Яуза парк","Корпус 5, Этаж 6 из 24","Заселение до 31 июля 2026"
"https://www.pik.ru/flat/942772","Студия, 21.8 м²","5 793 132 ₽","Ильинская 2029 г.
         • Ильинские луга","Корпус 2.8, Этаж 8 из 9","Заселение до 15 апреля 2026"
"https://www.pik.ru/flat/961974","Студия, 22.9 м²","7 215 790 ₽","Черкизовская
         • 2-й Иртышский","Корпус 1.3, Этаж 24 из 30","Заселение до 1 июня 2027"
"https://www.pik.ru/flat/962050","1 комната, 37.5 м²","10 638 000 ₽","Черкизовская
         • 2-й Иртышский","Корпус 1.3, Этаж 28 из 30","Заселение до 1 июня 2027"
"https://www.pik.ru/flat/963496","1 комната, 36.2 м²","8 622 840 ₽","Щербинка
         • Никольские луга","Корпус 4, Этаж 10 из 17","Заселение до 30 ноября 2026"
"https://www.pik.ru/flat/966423","Студия, 21.1 м²","5 513 936 ₽","Аэропорт Внуково
         • Середневский лес","Корпус 4.3, Этаж 6 из 9","Заселение до 31 августа 2026"
"https://www.pik.ru/flat/966563","1 комната, 32.4 м²","7 376 313 ₽","Аэропорт Внуково
         • Середневский лес","Корпус 4.3, Этаж 4 из 9","Заселение до 31 августа 2026"
"https://www.pik.ru/flat/643166","2 комнаты, 55.9 м²","9 016 670 ₽","Бульвар Дмитрия Донского
         • Восточное Бутово","Корпус 42, Этаж 10 из 16","Заселение до 30 ноября 2025"
"https://www.pik.ru/flat/947923","3 комнаты, 75.4 м²","17 204 319 ₽","Крюково
         • Зелёный парк","Корпус 6.2, Этаж 24 из 25","Заселение до 30 августа 2026"
"https://www.pik.ru/flat/947249","Студия, 25.5 м²","8 335 950 ₽","Грачёвская
         • Бусиновский парк","Корпус 1.4, Этаж 14 из 32","Заселение до 30 октября 2026"
"https://www.pik.ru/flat/947923","3 комнаты, 75.4 м²","17 204 319 ₽","Крюково
         • Зелёный парк","Корпус 6.2, Этаж 24 из 25","Заселение до 30 августа 2026"
