project,floor_number,total_floors,living_area,area,price,rooms,is_apartment,penthouse,metro_set.name,metro_set,settling_date_formatted
Томилино Парк,2,17,13.07,25.86,4652603,0,False,False,,"[{'name': 'Котельники', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 282}]",31 авг. 2026
Горки Парк,13,17,12.32,22.28,4656832,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 18, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 сен. 2026
Пятницкие Луга,5,12,10.83,21.73,4657804,0,False,False,,"[{'name': 'Пятницкое шоссе', 'color': '#0572B9', 'car_time': 12, 'walk_time': None, 'public_transport_time': None, 'cian_id': 244}]",30 авг. 2026
Томилино Парк,11,17,13.07,25.4,4659109,0,False,False,,"[{'name': 'Котельники', 'color': '#943F90', 'car_time': 10, 'walk_time': None, 'public_transport_time': None, 'cian_id': 282}]",31 авг. 2026
Горки Парк,10,10,12.32,22.28,4659907,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 18, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 сен. 2026
Богдановский Лес,8,12,12.33,22.9,4665234,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 июн. 2026
Пригород Лесное,16,17,10.2,22.57,4667548,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 15, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 сен. 2026
Богдановский Лес,4,12,12.7,25.93,4676631,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 июн. 2026
Богдановский Лес,4,12,12.33,22.95,4677967,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 30, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 июн. 2026
Горки Парк,16,17,12.32,22.28,4678198,0,False,False,,"[{'name': 'Домодедовская', 'color': '#4BAF4F', 'car_time': 18, 'walk_time': None, 'public_transport_time': None, 'cian_id': 39}]",30 сен. 2026
