developer,complex,metro_name,metro_walk_time,apartment_type,area,price,price for м2,Корпус,floor,rooms_number,Отделка,Срок сдачи
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,23.5 м2,12 186 207 ₽,518 562 ₽ за м2,5.3,6/13,200,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,23.03 м2,12 451 054 ₽,540 645 ₽ за м2,4.1,4/44,34,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,23.5 м2,12 229 517 ₽,520 405 ₽ за м2,5.3,7/13,207,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,25.12 м2,12 457 008 ₽,495 900 ₽ за м2,5,2/30,489,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,23.5 м2,12 309 300 ₽,523 800 ₽ за м2,5.3,9/13,221,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,25.12 м2,12 499 963 ₽,497 610 ₽ за м2,5,3/30,502,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,24.3 м2,12 341 775 ₽,507 892 ₽ за м2,5.7,2/13,419,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 508 085 ₽,545 490 ₽ за м2,4.1,6/44,56,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,24.6 м2,12 463 122 ₽,506 631 ₽ за м2,5.2,3/13,96,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 540 760 ₽,546 915 ₽ за м2,4.1,9/44,86,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,24.6 м2,12 670 722 ₽,515 070 ₽ за м2,5.2,8/13,131,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 658 391 ₽,552 045 ₽ за м2,4.1,12/44,116,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,25.9 м2,12 689 627 ₽,489 947 ₽ за м2,5.6,3/13,245,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 730 277 ₽,555 180 ₽ за м2,4.1,14/44,136,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 778 201 ₽,557 270 ₽ за м2,4.1,7/44,67,Предчистовая,4 квартал 2027
Среда,Среда на Лобачевского,Аминьевская,7 мин,Квартира студия,24.6 м2,12 792 418 ₽,520 017 ₽ за м2,5.2,11/13,152,Предчистовая,2 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,25.12 м2,12 812 581 ₽,510 055 ₽ за м2,5,10/30,591,Предчистовая,4 квартал 2027
Среда,Среда на Кутузовском,Кунцевская,7 мин,Квартира студия,22.93 м2,12 841 373 ₽,560 025 ₽ за м2,4.1,17/44,166,Предчистовая,4 квартал 2027
