title,rooms,number,area,price,price_per_meter,completion_date,details,room_sizes,presentation_url
"Студия №141, 27.9 м²",,141,9,5210658,186762,-15%,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 2', 'Этаж': '11 из 16'}","{'Прихожая': '2.9', 'Кухня-ниша': '6.1', 'Комната': '13.8', 'Совмещенный санузел': '3.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188624
"1-комн. квартира №137, 36.3 м²",1,137,3,19855751,546991,II квартал 2028,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 2 этап, корпус 3', 'Секция': 'Секция 1', 'Этаж': '2 из 5', 'Высота потолков': '3.02 м'}","{'Кухня': '11.7', 'Комната': '15.2', 'Прихожая': '5', 'Совмещенный санузел': '4.4'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000281891
"Студия №389, 33.2 м²",,389,2,22731890,684696,II квартал 2025,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '2 очередь, 2 этап, корпус 3', 'Секция': 'Секция 3.3', 'Этаж': '12 из 17', 'Высота потолков': '3.1 м'}","{'Спальня': '12.7', 'Кухня-ниша': '8.3', 'Санузел': '4.5', 'Прихожая': '4.6', 'Коридор': '3.1'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000180027
"1-комн. квартира №66, 39 м²",1,66,39,25501847,653894,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 4', 'Секция': 'Секция 1', 'Этаж': '11 из 19', 'Высота потолков': '2.87 м'}","{'Кухня': '15', 'Комната': '12.3', 'Прихожая': '4.5', 'Совмещенный санузел': '4.3', 'Гардеробная': '2.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000269215
"1-комн. квартира №245, 39.5 м²",1,245,5,24308383,615403,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 5', 'Секция': 'Секция 5.2', 'Этаж': '8 из 19', 'Высота потолков': '2.87 м'}","{'Комната': '13.1', 'Кухня': '14.3', 'Прихожая': '4.8', 'Совмещенный санузел': '4.5', 'Гардеробная': '2.8'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000271476
"2-комн. квартира №397, 60.8 м²",2,397,8,25866432,425435,-18%,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 6', 'Секция': 'Секция 6.2', 'Этаж': '3 из 19', 'Высота потолков': '2.87 м'}","{'Кухня-столовая': '19', 'Комната': '12.6', 'Прихожая': '2.4', 'Коридор': '5.5', 'Санузел': '1.8', 'Совмещенный санузел': '4.2', 'Гардеробная': '1.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000270102
"1-комн. квартира №425, 43.9 м²",1,425,9,27113165,617612,IV квартал 2026,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '3 очередь, 5 этап, корпус 6', 'Секция': 'Секция 6.2', 'Этаж': '6 из 19', 'Высота потолков': '2.87 м'}","{'Кухня-столовая': '20', 'Комната': '13.6', 'Прихожая': '3.6', 'Совмещенный санузел': '4.1', 'Гардеробная': '2.6'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000270126
"Студия №82, 28 м²",,82,28,6265023,223751,Сдан,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 1', 'Этаж': '15 из 15'}","{'Прихожая': '2.9', 'Кухня-ниша': '6.1', 'Комната': '13.9', 'Совмещенный санузел': '3.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188544
"1-комн. квартира №419, 41.3 м²",1,419,3,26955588,652678,IV квартал 2025,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '2 очередь, 1 этап, корпус 7', 'Секция': 'Секция 7.1', 'Этаж': '13 из 17', 'Высота потолков': '3.57 м'}","{'Прихожая': '4.3', 'Кухня-столовая': '16.4', 'Спальня': '14.4', 'Санузел': '4.3', 'Гардеробная': '1.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000191550
"3-комн. квартира №277, 62.9 м²",3,277,9,12484684,198485,Сдан,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 3', 'Этаж': '12 из 16'}","{'Прихожая': '6.6', 'Санузел': '1.4', 'Ванная': '3.9', 'Комната': '14.9', 'Кухня-ниша': '9.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188839
