url,error,title,rooms,number,area,price,price_per_meter,completion_date,details,room_sizes,presentation_url,features
https://etalongroup.ru/msk/choose/74622/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/74622/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/114259/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/114259/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/49669/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/49669/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/101410/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/101410/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/101748/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/101748/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/101592/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/101592/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/101616/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/101616/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/74542/,"Page.goto: Timeout 60000ms exceeded.
Call log:
  - navigating to ""https://etalongroup.ru/msk/choose/74542/"", waiting until ""load""
",,,,,,,,,,,
https://etalongroup.ru/msk/choose/116347/,,"1-комн. квартира №419, 41.3 м²",1,419,3,26955588,652678,IV квартал 2025,"{'Проект': 'Shagal', 'Метро': 'Технопарк', 'Адрес': 'г. Москва, ЮАО, ул. Автозаводская, вл. 23', 'Корпус': '2 очередь, 1 этап, корпус 7', 'Секция': 'Секция 7.1', 'Этаж': '13 из 17', 'Высота потолков': '3.57 м'}","{'Прихожая': '4.3', 'Кухня-столовая': '16.4', 'Спальня': '14.4', 'Санузел': '4.3', 'Гардеробная': '1.9'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000191550,"{'Планировка': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg', '/upload/kelnik.adminpage/9a1/7m7qkncc7u7cizfqe4uk198znhit86vk.jpg', '/upload/kelnik.adminpage/57b/8dsyfpeqle7axa4b1i3sgy6xfnveynod.jpg']}, 'План этажа': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg', '/upload/kelnik.adminpage/9a1/7m7qkncc7u7cizfqe4uk198znhit86vk.jpg', '/upload/kelnik.adminpage/57b/8dsyfpeqle7axa4b1i3sgy6xfnveynod.jpg']}, 'Архитектура': {'title': 'Архитектура', 'description': 'Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные подходы в проектировании и строительстве зданий. Архитектурная композиция состоит из домов отличающегося типа.\n\nВысотные башни-доминанты с видовыми квартирами, дома пониже, растворяющиеся в спокойствии внутренних двориков, малоэтажные камерные таунхаусы и разноэтажные дома с лоджиями на первой береговой линии соединяются в одно эстетичное современное произведение. В результате создаётся насыщенное идентичное пространство, подчёркнутое плавностью природных форм, наполненное светом, воздухом и свободой.', 'images': ['/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg', '/upload/kelnik.adminpage/044/wi1dkfjndswhxw8pldt6ymtmki89iy0f.jpg', '/upload/kelnik.adminpage/849/o6mhmeovsrb2ezhqyfddwtx0eoznsovt.jpg', '/upload/kelnik.adminpage/9a1/7m7qkncc7u7cizfqe4uk198znhit86vk.jpg', '/upload/kelnik.adminpage/57b/8dsyfpeqle7axa4b1i3sgy6xfnveynod.jpg']}, 'Квартиры с террасами': {'title': 'Квартиры с террасами', 'description': 'Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается живописный вид на набережную Шагала и Москву-реку или внутренний двор.\n\nДвухуровневая 5-комнатная квартира с открытой террасой идеально подойдет большой семье, а также тем, кому нужен домашний офис или творческая студия — каждый уровень имеет отдельный вход. Единственная на этаже, такая квартира создает ощущение частного загородного дома.', 'images': ['/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg']}, 'Подземный паркинг': {'title': 'Подземный паркинг', 'description': 'Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному паркингу, расположенному под всей территорией застройки.\n\nНа каждом этапе строительства жилого квартала Shagal предусмотрен подземный отапливаемый паркинг.\n\nВсе лифты спускаются в подземный паркинг и автоматически управляются системой умной дом, которая анализирует трафик и распределяет загрузку в зависимости от потребностей жителей. Помещения будут оснащены современной приточно-вытяжной вентиляцией.', 'images': ['/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg']}, 'Urban лобби': {'title': 'Входная группа', 'description': 'Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных колясочных, санузлов и ресепшн-зоны, здесь появится полноценное пространство для отдыха, работы и творчества.\n\nХарактерный стиль из экстерьера плавно перетекает в интерьер, стоит лишь шагнуть с улицы в лобби. Светлые мягкие оттенки лаконичной мебели и отделки минимизируют наличие визуального шума, оставляя пространство для спокойной и уютной атмосферы. Акцентная символика на стенах и предметы интерьера напоминают часть выставки современного искусства.', 'images': ['/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg']}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': 'На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских садов и 2 школы, в ближайшем окружении находятся колледжи и ВУЗы.\n\nПри необходимости всегда можно обратиться за квалифицированной медицинской помощью в поликлинику для детей и взрослых.\n\nМы предусмотрели наличие полного спектра социальной инфраструктуры. Один из главных векторов концепции Shagal — 100% kids friendly.', 'images': ['/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg']}, 'Набережная': {'title': 'Набережная', 'description': 'Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощущение близости к природе, живописные виды из окон.\n\nУ жителей Shagal будет возможность совершать утренние пробежки под пение птиц, практиковать SUP-серфинг на зеркальной глади, заниматься йогой под шелест листвы, встречать яркие закаты, дыша свежим речным воздухом.\n\nВ затоне Новинки, будет построена и оборудована целая инфраструктура для «причального отдыха», которая будет включать в себя: фудкорт, площадку для мероприятий, ресторан с террасой, а также пространство для коворкинга. И всё это будет доступно для жителей квартала Shagal.', 'images': ['/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg']}, 'Благоустройство': {'title': 'Благоустройство', 'description': 'Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с учетом солнечных и теневых сторон улиц, местной розы ветров и будущего озеленения.\n\nЖилой квартал Shagal — первый в Москве район, который строится по принципу «15-минутного города». Это город коротких расстояний, где в пределах 15-ти минут каждый житель сможет дойти от своего дома до всех необходимых общественных, социальных, коммерческих и деловых пространств, будь то парк, детский сад, офис или супермаркет. За счёт продуманной среды эти прогулки по району позволят жителям получать разнообразный клиентский опыт.', 'images': ['/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg']}}"
https://etalongroup.ru/msk/choose/74836/,,"3-комн. квартира №277, 62.9 м²",3,277,9,12484684,198485,Сдан,"{'Проект': 'Десятка', 'Метро': 'Котельники', 'Адрес': 'Московская область, г. Раменское, микрорайон №10', 'Корпус': 'Корпус 7', 'Секция': 'Секция 3', 'Этаж': '12 из 16'}","{'Прихожая': '6.6', 'Санузел': '1.4', 'Ванная': '3.9', 'Комната': '14.9', 'Кухня-ниша': '9.8', 'Балкон': '4.33'}",https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188839,"{'Планировка': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg']}, 'План этажа': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg']}, 'Архитектура': {'title': 'Архитектура', 'description': 'Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характеризуется эстетикой современного минимализма и лаконичными решениями.\n\nЛоджии квартир остеклены в пол для создания открытого и свободного пространства, которое визуально соединяется с природными мотивами окружения. А отделка фасадов керамогранитом только усиливает эту концептуальную связь.', 'images': ['/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg']}, 'Таунхаусы с ключами': {'title': 'Таунхаусы с ключами', 'description': 'В жилом комплексе «Десятка» расположились готовые двухэтажные таунхаусы с зелеными внутренними дворами.\n\nТаунхаусы - идеальное решение для тех, кто хочет жить в городе с комфортом и уютом собственного дома. Вы сможете наслаждаться тишиной и спокойствием загородной жизни, при этом оставаясь в шаговой доступности от всей необходимой инфраструктуры.', 'images': ['/upload/kelnik.adminpage/6e2/skvp1egz0hzx4h7qjarcewk3y2dtpxst.jpg']}, 'Социальная инфраструктура': {'title': 'Социальная инфраструктура', 'description': 'На территории микрорайона есть все важные объекты: детский сад, школа, досугово-спортивные локации для людей разного возраста, магазины и ТЦ.\n\nПри необходимости всего за 10 минут на общественном транспорте можно добраться до центра города Раменское, а на автомобиле или электричке спутник-экспресс легко в рамках часа доехать до Москвы.', 'images': ['/upload/kelnik.adminpage/f88/msjoa8tdc3p2tk6u0gg6c08w7rpqp7co.jpg']}, 'Парки': {'title': 'Парки', 'description': 'Жилой комплекс «Десятка» располагается в районе с повышенными показателями отличной экологии. Дома возводятся на границе с лесом рядом с озером Плотина.\n\nЕстественная парковая зона буквально в нескольких шагах от жилого пространства. Также 30-ти минутах пешком находится Раменский государственный парк культуры и отдыха, а в 15-ти минутах пешком Дергаевское водохранилище.', 'images': ['/upload/kelnik.adminpage/291/1wf201cg2ihqgl8beofnijx26oxk9lc9.jpg']}}"
