url,error,title,rooms,number,area,price,price_per_meter,completion_date,presentation_url,detail_Проект,detail_Метро,detail_Адрес,detail_Корпус,detail_Секция,detail_Этаж,detail_Высота потолков,room_size_Прихожая,room_size_Кухня-столовая,room_size_Спальня,room_size_Санузел,room_size_Гардеробная,feature_Планировка_title,feature_Планировка_desc,feature_Планировка_images_count,feature_Планировка_first_image,feature_План этажа_title,feature_План этажа_desc,feature_План этажа_images_count,feature_План этажа_first_image,feature_Архитектура_title,feature_Архитектура_desc,feature_Архитектура_images_count,feature_Архитектура_first_image,feature_Квартиры с террасами_title,feature_Квартиры с террасами_desc,feature_Квартиры с террасами_images_count,feature_Квартиры с террасами_first_image,feature_Подземный паркинг_title,feature_Подземный паркинг_desc,feature_Подземный паркинг_images_count,feature_Подземный паркинг_first_image,feature_Urban лобби_title,feature_Urban лобби_desc,feature_Urban лобби_images_count,feature_Urban лобби_first_image,feature_Социальная инфраструктура_title,feature_Социальная инфраструктура_desc,feature_Социальная инфраструктура_images_count,feature_Социальная инфраструктура_first_image,feature_Набережная_title,feature_Набережная_desc,feature_Набережная_images_count,feature_Набережная_first_image,feature_Благоустройство_title,feature_Благоустройство_desc,feature_Благоустройство_images_count,feature_Благоустройство_first_image,room_size_Ванная,room_size_Комната,room_size_Кухня-ниша,room_size_Балкон,feature_Таунхаусы с ключами_title,feature_Таунхаусы с ключами_desc,feature_Таунхаусы с ключами_images_count,feature_Таунхаусы с ключами_first_image,feature_Парки_title,feature_Парки_desc,feature_Парки_images_count,feature_Парки_first_image,room_size_Кухня,room_size_Совмещенный санузел,room_size_Коридор,room_size_Лоджия,feature_Архитектурный облик_title,feature_Архитектурный облик_desc,feature_Архитектурный облик_images_count,feature_Архитектурный облик_first_image,feature_Акцентная подсветка фасадов_title,feature_Акцентная подсветка фасадов_desc,feature_Акцентная подсветка фасадов_images_count,feature_Акцентная подсветка фасадов_first_image,feature_Лобби_title,feature_Лобби_desc,feature_Лобби_images_count,feature_Лобби_first_image,feature_Квартирография_title,feature_Квартирография_desc,feature_Квартирография_images_count,feature_Квартирография_first_image,feature_Окружение_title,feature_Окружение_desc,feature_Окружение_images_count,feature_Окружение_first_image,room_size_Гостиная,feature_Уникальное благоустройство_title,feature_Уникальное благоустройство_desc,feature_Уникальное благоустройство_images_count,feature_Уникальное благоустройство_first_image,feature_Редкие форматы квартир_title,feature_Редкие форматы квартир_desc,feature_Редкие форматы квартир_images_count,feature_Редкие форматы квартир_first_image,feature_Квартира с просторной террасой_title,feature_Квартира с просторной террасой_desc,feature_Квартира с просторной террасой_images_count,feature_Стильные холлы и лобби_title,feature_Стильные холлы и лобби_desc,feature_Стильные холлы и лобби_images_count,feature_Инфраструктура_title,feature_Инфраструктура_desc,feature_Инфраструктура_images_count,feature_Квартира с просторной террасой_first_image,feature_Стильные холлы и лобби_first_image,feature_Инфраструктура_first_image,room_size_Комната-НП,feature_Уникальные квартиры с террасами_title,feature_Уникальные квартиры с террасами_desc,feature_Уникальные квартиры с террасами_images_count,feature_Уникальные квартиры с террасами_first_image,feature_Архитектура и лобби_title,feature_Архитектура и лобби_desc,feature_Архитектура и лобби_images_count,feature_Архитектура и лобби_first_image,feature_Широкий выбор планировок_title,feature_Широкий выбор планировок_desc,feature_Широкий выбор планировок_images_count,feature_Широкий выбор планировок_first_image,feature_Место встречи: лобби_title,feature_Место встречи: лобби_desc,feature_Место встречи: лобби_images_count,feature_Место встречи: лобби_first_image,room_size_Терраса,room_size_Кухня-гостиная,room_size_Подсобное помещение,room_size_Постирочная,room_size_Холл,room_size_Кладовая,room_size_Кабинет-н,feature_Год_images_count,feature_Всё время_images_count,feature_Фото_images_count,feature_Трансляция_images_count,feature_Карта_images_count,feature_Панорама_images_count,feature_Офис продаж_images_count,room_size_Гостиная-(н),room_size_Тамбур,room_size_Лестница,room_size_Помещение,room_size_Кабинет
https://etalongroup.ru/msk/choose/116347/,,"1-комн. квартира №419, 41.3 м²",1.0,419.0,3.0,26955588.0,652678.0,IV квартал 2025,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000191550,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","2 очередь, 1 этап, корпус 7",Секция 7.1,13 из 17,3.57 м,4.3,16.4,14.4,4.3,1.9,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",5.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",5.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",5.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/74836/,,"3-комн. квартира №277, 62.9 м²",3.0,277.0,9.0,12484684.0,198485.0,Сдан,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188839,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,Секция 3,12 из 16,,6.6,,,1.4,,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,1.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,1.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,1.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,,,,,,,,,,,,,Социальная инфраструктура,"На территории микрорайона есть все важные объекты: детский сад, школа, досугово-спортивные локации д...",1.0,/upload/kelnik.adminpage/f88/msjoa8tdc3p2tk6u0gg6c08w7rpqp7co.jpg,,,,,,,,,3.9,14.9,9.8,4.33,Таунхаусы с ключами,В жилом комплексе «Десятка» расположились готовые двухэтажные таунхаусы с зелеными внутренними двора...,1.0,/upload/kelnik.adminpage/6e2/skvp1egz0hzx4h7qjarcewk3y2dtpxst.jpg,Парки,Жилой комплекс «Десятка» располагается в районе с повышенными показателями отличной экологии. Дома в...,1.0,/upload/kelnik.adminpage/291/1wf201cg2ihqgl8beofnijx26oxk9lc9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/114867/,,"1-комн. квартира №480, 37 м²",1.0,480.0,37.0,20630977.0,557594.0,II квартал 2028,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000276550,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 9",Секция 1,12 из 15,3.02 м,6.7,,,,,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,14.5,,,,,,,,,,,12,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/102166/,,"1-комн. квартира №624, 36.7 м²",1.0,624.0,7.0,23969437.0,653119.0,IV квартал 2026,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000270195,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 8",Секция 1,7 из 19,2.87 м,3.6,,,,2,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,12.1,,,,,,,,,,,15.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/114706/,,"1-комн. квартира №322, 40.5 м²",1.0,322.0,5.0,21851538.0,539545.0,II квартал 2028,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000276385,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 8",Секция 1,5 из 11,3.02 м,2.1,,,,4,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,15.9,,,,,,,,,,,10.6,4.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/74755/,,"2-комн. квартира №215, 44.2 м²",2.0,215.0,2.0,7169040.0,162196.0,-15%,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000188758,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,Секция 3,6 из 16,,3.2,,,,2.8,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,3.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,3.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,Архитектура,Для возведения комплекса была выбрана монолитная система домостроения. Архитектурный проект характер...,3.0,/upload/kelnik.adminpage/340/oazk2dgxmcm3ncb2xy2m1hgsgzuc4tzp.jpg,,,,,,,,,,,,,Социальная инфраструктура,"На территории микрорайона есть все важные объекты: детский сад, школа, досугово-спортивные локации д...",1.0,/upload/kelnik.adminpage/f88/msjoa8tdc3p2tk6u0gg6c08w7rpqp7co.jpg,,,,,,,,,,10.1,6,,Таунхаусы с ключами,В жилом комплексе «Десятка» расположились готовые двухэтажные таунхаусы с зелеными внутренними двора...,1.0,/upload/kelnik.adminpage/6e2/skvp1egz0hzx4h7qjarcewk3y2dtpxst.jpg,Парки,Жилой комплекс «Десятка» располагается в районе с повышенными показателями отличной экологии. Дома в...,1.0,/upload/kelnik.adminpage/291/1wf201cg2ihqgl8beofnijx26oxk9lc9.jpg,,3.9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/114195/,,"1-комн. квартира №104, 37.9 м²",1.0,104.0,9.0,20821262.0,549374.0,II квартал 2028,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000281858,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 2",Секция 1,2 из 5,3.02 м,7.4,,,,,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",1.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,19.3,,,,,,,,,,,7.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/114374/,,"1-комн. квартира №574, 34.7 м²",1.0,574.0,7.0,19853796.0,572156.0,II квартал 2028,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000276606,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 11",Секция 11.2,4 из 5,3.02 м,5.2,,,,,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,1.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,1.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,1.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",1.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,1.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,14.5,,,,,,,,,,,11.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/83324/,,"Студия №561, 31.4 м²",,561.0,4.0,21975410.0,699854.0,IV квартал 2025,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42000000000191740,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","2 очередь, 1 этап, корпус 7",Секция 7.2,12 из 17,3.12 м,4,,17,4.1,1.6,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Архитектура,"Квартал Shagal станет первым в Москве жилым районом, где будут комплексно реализованы инновационные ...",3.0,/upload/kelnik.adminpage/18c/tv9tj1txn723th0p8uwjj4uzjmi9eci2.jpg,Квартиры с террасами,"Большой выбор квартир с террасами — от 2-комнатных до 5-комнатных. Террасы, с которых открывается жи...",1.0,/upload/kelnik.adminpage/b48/olyakjywa93zflaiur5xx62ljzhipnjv.jpg,Подземный паркинг,Мечта практически любого москвича — дворы без машин — будет воплощена в жизнь благодаря подземному п...,3.0,/upload/kelnik.adminpage/c0b/0pkucorlxsy43gyagzrb2dzbras5tvwc.jpg,Входная группа,Лобби в стиле урбан-минимализма удивит вас своим простором и функциональностью. Помимо привычных кол...,3.0,/upload/kelnik.adminpage/250/i84iklkx1laxpe19mpl8edlb91xx2u2z.jpg,Социальная инфраструктура,На территории жилого квартала планируется строительство обучающих и развивающих локаций: 6 детских с...,3.0,/upload/kelnik.adminpage/711/hnlth1fvne787id7ts3z4s285yy6p4qq.jpg,Набережная,"Река — идеальное соседство для района нового формата и множество преимуществ: отличная экология, ощу...",3.0,/upload/kelnik.adminpage/042/i4i0v3y9k5bh5nrbhl0k93v7plcn4nsx.jpg,Благоустройство,Инновационной станет и внутренняя логистика квартала. Сеть комфортных пешеходных маршрутов создана с...,3.0,/upload/kelnik.adminpage/61f/d0cede21qlr8sizj5lt65heod70oij1o.jpg,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://etalongroup.ru/msk/choose/115483/,,"1-комн. квартира №99, 42 м²",1.0,99.0,42.0,25367994.0,604000.0,II квартал 2028,https://etalon.pro/home/quarterssearch/pdfflat?city=&investid=42500000000283095,Sokolinn Park,Бульвар Рокоссовского,"г. Москва, ВАО, Богородское, 3-я Гражданская ул., влд.1",Корпус 2,Секция 2.1,3 из 22,2.87 м,2.9,17.2,,,2,Архитектурный облик,Архитектурная концепция Sokolinn Park сочетает эстетику и функциональность. Фасады зданий выполнены ...,3.0,/upload/kelnik.adminpage/aa8/yymnkwr6lzzaro3ba4ks0y6h4fjob4qi.jpg,Архитектурный облик,Архитектурная концепция Sokolinn Park сочетает эстетику и функциональность. Фасады зданий выполнены ...,3.0,/upload/kelnik.adminpage/aa8/yymnkwr6lzzaro3ba4ks0y6h4fjob4qi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,Благоустройство,Благоустройство придомовой территории Sokolinn Park разработано с учётом разнообразных сценариев исп...,1.0,/upload/kelnik.adminpage/af4/j7jrkfqkfm5n9gk5mw1vipp49gdf4mii.jpg,,14.3,,1.8,,,,,,,,,,5.1,,,Архитектурный облик,Архитектурная концепция Sokolinn Park сочетает эстетику и функциональность. Фасады зданий выполнены ...,3.0,/upload/kelnik.adminpage/aa8/yymnkwr6lzzaro3ba4ks0y6h4fjob4qi.jpg,Акцентная подсветка фасадов,"Архитектурная подсветка зданий комплекса Sokolinn Park выполнена в теплой цветовой гамме, что позвол...",1.0,/upload/kelnik.adminpage/8f2/ys32uw262o5irk0z9db111lrxfq96i77.jpg,Лобби,"Основная идея — эстетика комфорта.\n\nИнтерьер лобби выполнен в едином стиле, для которого характерн...",1.0,/upload/kelnik.adminpage/bd1/36yo6b307pvqca5e5xfc42gumy052o5c.jpg,Квартирография,Планировочные решения разработаны с акцентом на функциональность и комфорт проживания.\n\nВ проекте ...,1.0,/upload/kelnik.adminpage/220/864au1azttz92iua16y5pdryeark8n85.jpg,Окружение,"В шаговой доступности от Sokolinn Park есть всё необходимое: торговые центры, спортивные учреждения,...",1.0,/upload/kelnik.adminpage/c78/6j66rhf675rbev0pqge0qbf9da6cb1xs.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
